year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2000,Argentina,0.9127265863529669,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2001,Argentina,0.9154777219622828,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2002,Argentina,0.9182371500298823,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2003,Argentina,0.9210048955508472,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2004,Argentina,0.9237809835956028,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2005,Argentina,0.926565439310138,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2006,Argentina,0.9293582879162394,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2007,Argentina,0.932159554711717,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2008,Argentina,0.9349692650706303,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2009,Argentina,0.9377874444435242,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2010,Argentina,0.9406141183576563,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2011,Argentina,0.9434493124172257,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2012,Argentina,0.9462930523036113,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2013,Argentina,0.9491453637755969,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2014,Argentina,0.9520062726696108,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2015,Argentina,0.9548758048999577,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2016,Argentina,0.9577539864590501,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2017,Argentina,0.9606408434176497,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2018,Argentina,0.9635364019250999,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2019,Argentina,0.9664406882095614,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2020,Argentina,0.9693537285782549,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2021,Argentina,0.9722755494176925,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2022,Argentina,0.9752061771939232,0.4504897297867043,0.0038035506876499263,99.99999999999991,0.023255813953488372,-0.99,42,0.0022191276933249864,1.067811937389555,TRUE
2000,Australia and New Zealand,0.6392755596730395,7.843125236414985e-7,0.38093673227986347,0.010101010101010102,99.99999999999991,98,-0.99,2.632222845525266e-18,0.5222318788546768,TRUE
2001,Australia and New Zealand,0.6521999840336158,7.843125236414985e-7,0.38093673227986347,0.010101010101010102,99.99999999999991,98,-0.99,2.632222845525266e-18,0.5222318788546768,TRUE
2002,Australia and New Zealand,0.6653857053302658,7.843125236414985e-7,0.38093673227986347,0.010101010101010102,99.99999999999991,98,-0.99,2.632222845525266e-18,0.5222318788546768,TRUE
2003,Australia and New Zealand,0.6788380062809622,7.843125236414985e-7,0.38093673227986347,0.010101010101010102,99.99999999999991,98,-0.99,2.632222845525266e-18,0.5222318788546768,TRUE
